slug,earning_after_first_date,expense_after_first_date,earning_after_first_expense,expense_after_first_expense
carlosponton/ragnarok-m-afterdawn-backend,7733.91,-6534.01,4904.5,-5600.0
kelvinbe/pet-api,7733.91,-6534.01,4904.5,-5600.0
EdselNicolas/crud-jwt-nestjs-mongoose,7733.91,-6534.01,4904.5,-5600.0
xoxefdp/nestjs-webpack,7733.91,-6534.01,4904.5,-5600.0
ifaim/nestjs-nodemailer,7733.91,-6534.01,4904.5,-5600.0
ahmadarif/medium-nest-app,7733.91,-6534.01,4904.5,-5600.0
philippschladitz/image-hub-backend,7733.91,-6534.01,4904.5,-5600.0
beaussart/nest-onion-boilerplate,7733.91,-6534.01,4904.5,-5600.0
zhangtanlin/monitor-nest,7733.91,-6534.01,4904.5,-5600.0
Felipe-BP/api-heroes-nest-mongo,7733.91,-6534.01,4904.5,-5600.0
brianjohnsonsr/nest.ws.tutorial,7733.91,-6534.01,4904.5,-5600.0
cdiaz/nest-neo4j,7733.91,-6534.01,4904.5,-5600.0
Bernardstanislas/dojo-cqrs-nest,7733.91,-6534.01,4904.5,-5600.0
695954085/order-system,7733.91,-6534.01,4904.5,-5600.0
baoleilei/nest-blog,7733.91,-6534.01,4904.5,-5600.0
ChangJoo-Park/nest-docs-ko,7733.91,-6534.01,4904.5,-5600.0
danielmlc/blogServer,7733.91,-6534.01,4904.5,-5600.0
spencercope/g7-web-services,7733.91,-6534.01,4904.5,-5600.0
torgge/nestjsframework,,,,
Winplaybox/websitebuilder,1509.0,-398.08,359.0,-300.0
tonymanpro/NestJs,7733.91,-6534.01,4904.5,-5600.0
caiyue1993/IceCream,38.0,0.0,0.0,-21.0
ahkeravi2778/webisforyou,295.0,0.0,,
ahkeravi2778/ahkeravi2778.github.io,295.0,0.0,,
developers-youcong/Settings-Sync-Plus,374.0,-307.0,64.0,-307.0
KronicDeth/intellij-elixir,5.0,0.0,,
ChrisRM/material-theme-jetbrains,645.0,-300.0,760.0,-300.0
bitbeans/SimpleDnsCrypt,,,,
thepirat000/Audit.NET,59.0,-52.0,0.0,-7.0
niosus/EasyClangComplete,114.0,-70.0,26.0,-70.0
marcoschwartz/aREST,,,,
firefly-iii/firefly-iii,40.0,-32.52,0.0,-32.52
BeardedManStudios/ForgeNetworkingRemastered,,,,
HenryQW/Awesome-TTRSS,,,,
patrikx3/redis-ui,,,,
cmosguy/react-redux-auth0,66.0,0.0,,
mtxr/CudaText-SQLTools,,,,
mnater/Hyphenopoly,,,,
tom-englert/ResXResourceManager,106.0,0.0,,
OctoLinker/OctoLinker,,,,
huangyongguo/bootstrap-table,56.0,0.0,,
aboodman/dot-donate,,,,
MoePlayer/APlayer,20.0,-9.94,14.0,-9.94
pichillilorenzo/JavaScriptEnhancements,20.0,0.0,,
Ulakbim-DergiPark/ojs,,,,
vbauer/android-arsenal.com,,,,
wslutilities/wslu,,,,
JamieMason/astexplorer.app,,,,
JamieMason/image-optimisation-tools-comparison,,,,
JamieMason/add-matchers,,,,
JamieMason/is-office-hours,,,,
marcelklehr/floccus,,,,
CaptainKO/angularPWA,204.0,-62.0,75.0,-62.0
androidstarters/android-starter,,,,
timgrossmann/InstaPy,1065.62,-319.32,325.0,-200.0
Instagram-Tools/bot,1065.62,-319.32,325.0,-200.0
TGmeetup/TGmeetup,,,,
vicky002/AlgoWiki,,,,
z-song/laravel-admin,150.0,0.0,,
simonmichael/hledger,100.0,0.0,,
duplicati/duplicati,2555.0,0.0,,
cohradoesr/noob,,,,
wizicer/FinancialSupportForOpenSource,6161.0,-1476.96,8317.0,-2.0
dakk/lavorare-opensource,6161.0,-1476.96,8317.0,-2.0
kivy/kivy,4034.0,-10.0,3010.0,-10.0
Vue-cd/vue,23294.100000000002,-1279.94,10033.0,-5534.33
rocksolid-china/vuetify,349.0,0.0,,
JodaOrg/joda-beans,,,,
pugjs/then-pug,765.0,-516.1,1035.0,-200.0
phengemuhle/UdemyReactNative,729.0,0.0,149.0,-500.0
briannesbitt/Carbon,130.0,-90.0,25.0,-90.0
pug-php/pug,90.0,-86.0,0.0,-86.0
phug-php/bemto,90.0,-86.0,0.0,-86.0
chibisov/drf-extensions,5.0,0.0,,
activeadmin/activeadmin,105.0,0.0,,
unarxiv/CVFlow,,,,
libremesh/chef,,,,
wp-graphql/wp-graphql-woocommerce,,,,
open-services/open-registry,,,,
opencollective/sustainer-resources,,,,
acidjazz/laranuxt,,,,
rabbotio/ears,,,,
11ty/eleventy,926.0,-186.0,448.0,-186.0
AAChartModel/loadHtmlCssJsDemo-master,,,,
DIYgod/APlayer,20.0,-9.94,14.0,-9.94
zeapo/Android-Password-Store,104.0,0.0,,
MoienTajik/AspNetCore-Developer-Roadmap,5.0,0.0,,
AudioKit/AudioKit,955.0,-591.13,865.0,-259.13
AudioKit/AudioKitSynthOne,955.0,-591.13,865.0,-259.13
AvaloniaUI/Avalonia,305.0,0.0,,
zhongzf/Xamarin.Forms.Platform.AvaloniaUI,305.0,0.0,,
burning-git/BRMultilevelMeun,,,,
yenom/BitcoinKit,,,,
oguzhaninan/Buka,,,,
ali322/CNodeRN,,,,
colorswall/CSS-file-icons,,,,
wonderkun/CTF_web,,,,
darkprize/camerakit,100.0,0.0,,
Catel/Catel,711.0,0.0,,
Mo7ammedFtta7/smrc,,,,
LavaLite/cms,,,,
ApolloZhu/Developing-iOS-10-Apps-with-Swift,200.0,0.0,,
GhostWriters/DockSTARTer,191.0,-135.0,16.0,-35.0
facebook/docusaurus,11150.0,-2250.0,6175.0,-1500.0
facebook/Docusaurus,11150.0,-2250.0,6175.0,-1500.0
UXSoc/playbook,11150.0,-2250.0,6175.0,-1500.0
komeiji-satori/Dress,,,,
EFPrefix/EFQRCode,15.0,0.0,,
renyuneyun/Easer,,,,
EasyHexo/Easy-Hexo,,,,
kelthuzadx/EffectiveModernCppChinese,,,,
laravel-enso/enso,735.0,0.0,,
WangYihang/Exploit-Framework,,,,
sarriaroman/FabricPlugin,,,,
HamzaGhazouani/HGCircularSlider,,,,
zyphs21/HSStockChart,,,,
Yurunsoft/IMI,,,,
patchthecode/JTAppleCalendar,135.0,0.0,,
vdm-io/Joomla-Component-Builder,400.0,0.0,,
ujjwalguptaofficial/JsStore,,,,
onevcat/Kingfisher,87.33,-24.0,60.0,-16.39
noppefoxwolf/Kitsunebi,,,,
GeekyAnts/NativeBase,,,,
Binaryify/NeteaseCloudMusicApi,,,,
Binaryify/OneDark-Pro,,,,
OnionBrowser/OnionBrowser,60.0,-50.790000000000006,0.0,-12.48
OpenSID/OpenSID,,,,
nakajijapan/PhotoSlider,20.0,0.0,,
WangYihang/Platypus,,,,
QUANTAXIS/QUANTAXIS,,,,
louislivi/SMProxy,,,,
yyued/SVGAPlayer-Android,,,,
SpinaCMS/Spina,82.0,0.0,,
houko/SpringBootUnity,,,,
t4t5/sweetalert,207.0,0.0,,
Miloudi-Imad/moyen,,,,
SkrewEverything/Swift-Keylogger,,,,
TGmeetup/TWcommunities,,,,
Sunnyyoung/WeChatTweak-macOS,3.0,0.0,,
WangYihang/Webshell-Sniper,,,,
WPBP/WordPress-Plugin-Boilerplate-Powered,,,,
XOOPS/XoopsCore,250.0,0.0,,
XOOPS/XoopsCore25,250.0,0.0,,
l-hammer/You-need-to-know-css,,,,
accounts-js/accounts,55.0,0.0,,
BUPT/ai-ml.club,37.0,-1.6099999999999999,37.0,-1.6099999999999999
akaunting/akaunting,135.0,0.0,,
AlchemyCMS/alchemy_cms,,,,
0hwan/AlgorithmVisualizer,,,,
allure-framework/allure2,392.65999999999997,0.0,212.0,-250.0
